Date,Mkt-RF,SMB,HML,RMW,CMA,RF,orcl_excess_returns
2025-07-17,0.54,0.19,-0.23,-0.3,-0.15,0.01,3.0774404758209686
2025-07-18,0.02,-0.17,0.09,-0.22,0.1,0.01,-1.3366322715863144
2025-07-21,0.2,0.06,0.32,0.07,0.14,0.01,-0.7881630837569775
2025-07-22,0.16,0.4,0.92,-0.14,0.76,0.01,-2.2396131773901993
2025-07-23,1.06,0.11,0.09,-0.15,0.1,0.01,1.5817003129592988
2025-07-24,0.03,-0.43,-0.38,0.57,-0.21,0.01,0.3744570491216892
2025-07-25,0.14,-0.21,-0.09,-0.28,-0.14,0.01,0.933043726707482
2025-07-28,-0.41,-0.25,-0.43,0.19,-0.47,0.01,1.0466303876410776
2025-07-29,-0.34,-0.32,0.34,0.15,0.3,0.01,0.9063879598662161
2025-07-30,-0.43,-0.48,-0.47,-0.09,-0.49,0.01,0.2380263915782821
